Jerusalem, 31.768567100268914, 35.21518767171241
Ramallah, 31.903778888258824, 35.20322150123178
Nablus, 32.222565231818386, 35.26192739543602
Tulkarm, 32.31942712829897, 35.02407957439431
Hebron, 31.53304365964505, 35.10081310389663
Jericho, 31.861074380704608, 35.46150397858512
Jenin, 32.46448986506284, 35.29440365912376
Qalqilya, 32.196558826697796, 34.98271468029567
Al-Bireh, 31.913035661384708, 35.22304742645613
Haifa, 32.79398806237115, 34.98862433670316
Tubas, 32.32159280976684, 35.37154091831549
Acre, 32.93310699759729, 35.08269088233364
Beitunia, 31.889863095185802, 35.170843019072
Salfit, 32.08538380475161, 35.18148810962341
Bethlehem, 31.705928847260445, 35.204202079974785